Diametro (m),Presion (Pa),Velocidad (m/s),Flujo Volumetrico (m³/s),Reynolds
0.08,50000.0,0.01,5.026548245743668,800.0000000000001
0.08,60000.0,0.01,6.031857894892402,800.0000000000001
0.08,70000.0,0.01,7.037167544041137,800.0000000000001
0.08,80000.0,0.01,8.04247719318987,800.0000000000001
0.08,90000.0,0.01,9.047786842338605,800.0000000000001
0.08,100000.0,0.01,10.053096491487336,800.0000000000001
0.09000000000000001,10000.0,0.01,1.6103116718908315,900.0000000000001
0.09000000000000001,20000.0,0.01,3.220623343781663,900.0000000000001
0.09000000000000001,30000.0,0.01,4.830935015672495,900.0000000000001
0.09000000000000001,40000.0,0.01,6.441246687563326,900.0000000000001
0.09000000000000001,50000.0,0.01,8.051558359454157,900.0000000000001
0.09000000000000001,60000.0,0.01,9.66187003134499,900.0000000000001
